field_id,gewas,crop_class,area_ha,ndvi_apr,ndvi_may,ndvi_jun,ndvi_jul,ndvi_aug,ndvi_sep,ndvi_oct,ndwi_apr,ndwi_may,ndwi_jun,ndwi_jul,ndwi_aug,ndwi_sep,ndwi_oct,ndvi_peak,ndvi_peak_month,ndvi_season_mean,ndvi_range,ndwi_peak,ndwi_peak_month,ndwi_season_mean,ndwi_range
518,"Bieten, suiker-",Sugar beet,4.933985157080636,0.25760059955622905,0.3553361332495944,0.821103659071517,0.8238880476563469,0.7507810629219566,0.6758227909409131,0.7436429111519868,-0.3606205375200714,-0.3969174936466904,-0.7223924732640108,-0.7029622649030361,-0.6473801661202665,-0.5884593010053392,-0.656506997127297,0.8238880476563469,jul,0.6325964577926492,0.5662874481001179,-0.3606205375200714,apr,-0.5821770333695302,0.3617719357439394
519,"Mais, snij-",Maize,2.3512315228875247,0.33027180261834194,0.32541497616272724,0.6841236136250182,0.871866937080292,0.8166659260708096,0.4100138794474364,0.3197905331332341,-0.44851575779410774,-0.42830052585422923,-0.6413164275078813,-0.793036677151031,-0.7283719142772727,-0.45152458009530744,-0.4320604930614051,0.871866937080292,jul,0.5368782383054086,0.5520764039470578,-0.42830052585422923,may,-0.5604466251058906,0.36473615129680176
520,"Mais, snij-",Maize,1.058574268886991,0.4207270813067683,0.34670438869648756,0.599648170610683,0.8111421178388832,0.6296058271169637,0.5083888474915796,0.4363957905104108,-0.4964864500919176,-0.42577754868476025,-0.5622703236260054,-0.6952023254248972,-0.5566758732474267,-0.4747807709864943,-0.4682845021074122,0.8111421178388832,jul,0.5360874605102538,0.46443772914239567,-0.42577754868476025,may,-0.5256396848812733,0.269424776740137
521,"Grasland, tijdelijk",Grass,2.570862773010406,0.8124102659510509,0.7243870907332469,0.7551743686115585,0.7800918057974594,0.6391462391711321,0.7533545674450595,0.7463181427437757,-0.7504793647990576,-0.6512988630622266,-0.6684970051427237,-0.7024457906092562,-0.622228063071414,-0.6464181407281142,-0.6621338268498156,0.8124102659510509,apr,0.7444117829218976,0.1732640267799188,-0.622228063071414,aug,-0.6719287220375154,0.12825130172764365
522,"Aardappelen, consumptie",Potato,3.529202521829047,0.2871409156183826,0.513232841022936,0.8663689032863324,0.8003349908398553,0.47322336693661665,0.30726865186457625,0.3090123293379476,-0.3765578400749759,-0.5156367903040053,-0.7611272467848594,-0.6833957905806153,-0.47245884685229494,-0.3662156984296279,-0.3540662386307622,0.8663689032863324,jun,0.5080831427009496,0.5792279876679498,-0.3540662386307622,oct,-0.5042083502367344,0.40706100815409724
523,"Uien, gele zaai-",Onion,6.475979687890424,0.22368357186603655,0.25087699022702203,0.801155278092773,0.819053007176976,0.23599507793335212,0.5267873974814862,0.7828243153657795,-0.32823018337190796,-0.3275244537833565,-0.7150766293192161,-0.7395371203024738,-0.3206772452928447,-0.448112679006028,-0.6288840743932536,0.819053007176976,jul,0.5200536625919179,0.5953694353109396,-0.3206772452928447,aug,-0.5011489122098686,0.41885987500962907
524,"Mais, korrel-",Maize,0.9890284106017543,0.32708540246569096,0.33706135887798205,0.7824696136348583,0.7774597429985416,0.6180215311736685,0.33867990994514846,0.3294389372318703,-0.42202183857330705,-0.39658289344979,-0.724973862601106,-0.7189866779485001,-0.6100378922645481,-0.42302729096698216,-0.3993081669670419,0.7824696136348583,jun,0.5014594994753944,0.4553842111691674,-0.39658289344979,may,-0.5278483746816108,0.328390969151316
525,"Aardappelen, consumptie",Potato,3.2078379633476923,0.2957905842917693,0.4373788962005605,0.8611090466872017,0.818789647245255,0.46186269807180763,0.24231310653225538,0.2923178667900297,-0.40948594383563935,-0.4795152572373025,-0.7643543682756607,-0.7137593567856563,-0.4818251013111615,-0.334209851292746,-0.3824347379377366,0.8611090466872017,jun,0.4870802636884113,0.6187959401549463,-0.334209851292746,sep,-0.5093692309537003,0.4301445169829147
526,"Aardappelen, consumptie",Potato,1.7874247633587725,0.28821087876042983,0.2826799409952859,0.8657212001557734,0.8709566998860017,0.3199278162683518,0.2806364820807491,0.3026246317232329,-0.3852820568855535,-0.36726318565553434,-0.7605168321703536,-0.7599725116830797,-0.3291691042687349,-0.3359431593444652,-0.4024934857122393,0.8709566998860017,jul,0.4586796642671178,0.5903202178052526,-0.3291691042687349,aug,-0.4772343336742801,0.4313477279016187
527,"Aardappelen, consumptie",Potato,1.0078324124142524,0.25815265614868366,0.31348569581373287,0.8787412173440226,0.869675330212151,0.3702307624624584,0.33228680357416496,0.3539220563154047,-0.3716486615807628,-0.38549921171825224,-0.774453368122371,-0.7634051310303182,-0.3785320962520541,-0.3849422175124885,-0.4396167747420152,0.8787412173440226,jun,0.4823563602672311,0.6205885611953389,-0.3716486615807628,apr,-0.4997282087083232,0.40280470654160816
